"","year","co2_ppm"
"1",1959,315.98
"2",1960,316.91
"3",1961,317.64
"4",1962,318.45
"5",1963,318.99
"6",1964,319.62
"7",1965,320.04
"8",1966,321.37
"9",1967,322.18
"10",1968,323.05
"11",1969,324.62
"12",1970,325.68
"13",1971,326.32
"14",1972,327.46
"15",1973,329.68
"16",1974,330.19
"17",1975,331.13
"18",1976,332.03
"19",1977,333.84
"20",1978,335.41
"21",1979,336.84
"22",1980,338.76
"23",1981,340.12
"24",1982,341.48
"25",1983,343.15
"26",1984,344.87
"27",1985,346.35
"28",1986,347.61
"29",1987,349.31
"30",1988,351.69
"31",1989,353.2
"32",1990,354.45
"33",1991,355.7
"34",1992,356.54
"35",1993,357.21
"36",1994,358.96
"37",1995,360.97
"38",1996,362.74
"39",1997,363.88
"40",1998,366.84
"41",1999,368.54
"42",2000,369.71
"43",2001,371.32
"44",2002,373.45
"45",2003,375.98
"46",2004,377.7
"47",2005,379.98
"48",2006,382.09
"49",2007,384.02
"50",2008,385.83
"51",2009,387.64
"52",2010,390.1
"53",2011,391.85
"54",2012,394.06
"55",2013,396.74
"56",2014,398.81
"57",2015,401.01
"58",2016,404.41
"59",2017,406.76
"60",2018,408.72
"61",2019,411.66
"62",2020,414.24
"63",2021,416.45
